filename,score_Normal,score_High,score_Mid,score_Low,score_Very_Low,prob_Normal,prob_High,prob_Mid,prob_Low,prob_Very_Low,predict class,actual class
M04_B3_C5_M6.npy,-10.734561,-3.7855923,-4.02451,-5.0876074,7.0185246,1.9494609e-08,2.0314837e-05,1.5997528e-05,5.525293e-06,0.99995816,Very_Low,Very_Low
M04_B3_CW96_M7.npy,-11.986858,-7.184355,-4.1747866,-4.62129,8.4254465,1.3647296e-09,1.6624438e-07,3.3712104e-06,2.1571075e-06,0.9999944,Very_Low,Very_Low
M12_B3_LQ_M8.npy,-13.553936,-8.329258,-2.814404,-3.8546503,7.6419797,6.233242e-10,1.15814494e-07,2.8762945e-05,1.0163896e-05,0.999961,Very_Low,Very_Low
M04_B3_CW5_M8.npy,-7.9540024,-6.0245466,-3.7697763,-2.5398252,6.3413396,6.187738e-07,4.2607253e-06,4.0617935e-05,0.00013895659,0.9998155,Very_Low,Very_Low
M04_B3_LH_M6.npy,-11.5947075,-7.1191645,-3.2229047,-4.570724,7.4725385,5.2382703e-09,4.6014122e-07,2.264725e-05,5.8838955e-06,0.99997103,Very_Low,Very_Low
M04_B3_LX_M8.npy,-11.271402,-5.6974783,-3.7449443,-4.0757546,6.715384,1.5431743e-08,4.065735e-06,2.8649305e-05,2.0579977e-05,0.9999467,Very_Low,Very_Low
M04_B3_CW2_M3.npy,-10.674526,-4.4625883,-5.033551,-4.0040793,7.2530065,1.6374216e-08,8.165269e-06,4.6132227e-06,1.2915123e-05,0.99997425,Very_Low,Very_Low
M01_B3_CW38_M6.npy,-10.965956,-7.6758556,-0.26647583,-5.0009212,6.103184,3.8567077e-08,1.0353544e-06,0.0017097857,1.5024439e-05,0.9982741,Very_Low,Very_Low
M12_B3_CW82_M4.npy,-11.487368,-9.5875025,-3.6692553,-3.1192834,8.306923,2.5318696e-09,1.6925547e-08,6.292227e-06,1.0905712e-05,0.9999827,Very_Low,Very_Low
M12_B3_LY_M6.npy,-10.853094,-6.943413,-4.5179377,-3.9067678,7.614178,9.544626e-09,4.7611508e-07,5.3837143e-06,9.919954e-06,0.99998426,Very_Low,Very_Low
F03_B3_CW97_M3.npy,-12.445469,-6.2565317,-5.7685003,-4.081612,8.477563,8.1891943e-10,3.990819e-07,6.501467e-07,3.5125086e-06,0.99999547,Very_Low,Very_Low
M04_B3_CW5_M3.npy,-9.911401,-5.141932,-4.057124,-4.6637306,7.5255413,2.6743868e-08,3.1519464e-06,9.326199e-06,5.084624e-06,0.9999825,Very_Low,Very_Low
M12_B3_CW32_M8.npy,-12.991406,-7.8872876,-3.1024952,-6.6663313,9.328202,2.026354e-10,3.3373805e-08,3.994063e-06,1.1315156e-07,0.9999958,Very_Low,Very_Low
F03_B3_CW81_M8.npy,-13.342016,-7.1288953,-5.109534,-5.1626077,9.498848,1.2032014e-10,6.00707e-08,4.525434e-07,4.291514e-07,0.99999905,Very_Low,Very_Low
M12_B3_CW13_M4.npy,-13.776398,-7.355971,-2.629833,-5.903888,8.210941,2.824952e-10,1.7352708e-07,1.9584051e-05,7.4130736e-07,0.9999795,Very_Low,Very_Low
M04_B3_D6_M5.npy,-10.937115,-3.0135858,-5.4083953,-5.6790395,8.375179,4.0998835e-09,1.1321822e-05,1.0324374e-06,7.8763463e-07,0.99998677,Very_Low,Very_Low
M12_B3_LF_M5.npy,-10.463887,-6.1856995,-4.2025394,-2.0549703,5.767235,8.927225e-08,6.437384e-06,4.6771882e-05,0.00040055515,0.999546,Very_Low,Very_Low
M04_B3_CW1_M6.npy,-9.628351,-4.4005675,-2.432279,-4.419641,5.8580422,1.8802073e-07,3.504315e-05,0.00025085337,3.438109e-05,0.99967945,Very_Low,Very_Low
F03_B3_CW64_M3.npy,-12.745487,-6.042627,-6.4128118,-4.8086276,9.411785,2.383518e-10,1.9419298e-07,1.3411109e-07,6.670411e-07,0.99999905,Very_Low,Very_Low
