filename,score_N,score_L,score_M,score_H,prob_N,prob_L,prob_M,prob_H,predict class,actual class
M22_Hindi_H_0005.npy,-3.3489747,1.362809,2.7193086,-3.4412074,0.0018345233,0.20409144,0.79240113,0.0016728889,M,H
M22_Hindi_H_0014.npy,-3.0910482,0.79008055,-0.73712397,1.8033973,0.00516658,0.25047013,0.054387547,0.6899757,H,H
M22_Hindi_H_0037.npy,3.0634491,1.1800047,0.36499962,-4.694145,0.8198048,0.124663964,0.055180885,0.00035045328,N,H
M22_Hindi_H_0024.npy,-1.8849026,2.2190049,2.6179178,-4.6335697,0.0065827616,0.39876089,0.59423494,0.00042138307,M,H
M22_Hindi_H_0040.npy,-2.03725,-1.4142094,4.1908,-2.8323689,0.001960467,0.0036554653,0.9934989,0.00088520494,M,H
M22_Hindi_H_0059.npy,-1.7294607,1.1413349,-0.18683751,0.05468759,0.034150198,0.60278714,0.15971512,0.2033476,L,H
M22_Hindi_H_0041.npy,4.332567,0.6791294,-0.6107509,-5.4180827,0.9679689,0.025072262,0.006902485,5.6390734e-05,N,H
M22_Hindi_H_0039.npy,-2.4657698,4.6877337,1.210877,-5.057193,0.0007580547,0.96923167,0.029953524,5.6788424e-05,L,H
M22_Hindi_H_0042.npy,6.3666778,2.4825518,2.2886422,-11.991586,0.9638493,0.01982233,0.016328298,1.0259278e-08,N,H
M22_Hindi_H_0001.npy,-0.5360175,3.4839451,1.356386,-5.6133175,0.01578767,0.87935793,0.10475589,9.84634e-05,L,H
M22_Hindi_H_0006.npy,-0.26887012,-0.9603166,6.1183467,-6.658211,0.0016786894,0.00084077317,0.9974778,2.8191268e-06,M,H
M22_Hindi_H_0048.npy,-1.0507945,1.9963808,5.6274085,-7.377774,0.0012240696,0.025773749,0.97300005,2.1879328e-06,M,H
M22_Hindi_H_0058.npy,-2.1806424,0.6231316,5.30972,-5.583726,0.0005530237,0.009128665,0.9902998,1.8399382e-05,M,H
M22_Hindi_H_0002.npy,-3.5180523,0.16343182,2.146393,-1.1825681,0.0029457884,0.11696336,0.84964776,0.030443143,M,H
M22_Hindi_H_0051.npy,-1.6439123,2.006247,2.1171815,-3.6975756,0.012105879,0.4658439,0.5204975,0.0015527502,M,H
M22_Hindi_H_0031.npy,-2.271193,-2.3230627,6.0220532,-4.099524,0.00025006887,0.00023742861,0.9994723,4.0181447e-05,M,H
M22_Hindi_H_0019.npy,1.4830971,1.4296559,5.0225234,-8.644003,0.027476186,0.026046377,0.9464764,1.0985318e-06,M,H
M22_Hindi_H_0045.npy,6.500332,4.048171,-0.94178677,-11.19492,0.92022276,0.079237916,0.00053928944,1.9008285e-08,N,H
M22_Hindi_H_0020.npy,-1.7046506,-0.05812949,3.4773288,-3.4973254,0.005423281,0.028140835,0.96553284,0.000903053,M,H
M22_Hindi_H_0025.npy,-1.3029225,0.60824794,5.2565207,-6.1320467,0.0014012515,0.009473859,0.9891137,1.1200938e-05,M,H
M22_Hindi_H_0056.npy,1.8872774,3.6953075,2.3771236,-9.6447735,0.11454102,0.6985195,0.1869384,1.1237116e-06,L,H
M22_Hindi_H_0043.npy,-0.8096374,1.8065723,0.92013264,-3.0816197,0.048956674,0.66991144,0.27608418,0.005047804,L,H
M22_Hindi_H_0049.npy,-2.1128478,2.4348452,2.6189425,-4.532808,0.004784646,0.45173928,0.5430506,0.00042547545,M,H
M22_Hindi_H_0035.npy,-1.0391434,-0.017371846,3.2754242,-3.658938,0.012717436,0.035330456,0.951026,0.00092605565,M,H
M22_Hindi_H_0053.npy,0.14061153,1.6228608,3.617355,-6.723105,0.026484398,0.11660653,0.85688144,2.7676815e-05,M,H
M22_Hindi_H_0010.npy,-2.47706,0.59222454,1.4697791,-1.386348,0.012940902,0.27857232,0.66996956,0.038517203,M,H
M22_Hindi_H_0028.npy,0.21694157,0.2431359,4.855639,-6.351368,0.00948429,0.009736009,0.9807664,1.3317556e-05,M,H
M22_Hindi_H_0052.npy,-1.3364807,1.347972,3.8482525,-5.077592,0.005149337,0.07543874,0.9192897,0.0001221821,M,H
M22_Hindi_H_0003.npy,-0.37540743,-0.3740183,3.3126996,-4.381799,0.023815928,0.023849035,0.9519016,0.00043342466,M,H
M22_Hindi_H_0029.npy,3.7582815,1.7413598,3.7094262,-10.14397,0.47952792,0.06380813,0.4566635,4.3968626e-07,N,H
M22_Hindi_H_0038.npy,-1.9329201,-0.44139045,2.1372592,-1.1886482,0.01512487,0.06721323,0.8858254,0.03183647,M,H
M22_Hindi_H_0046.npy,1.894227,-0.09440596,5.533417,-8.741415,0.025511565,0.003492084,0.9709957,6.1338994e-07,M,H
M22_Hindi_H_0007.npy,2.0930758,0.18928085,3.2043154,-6.633273,0.23881814,0.0355844,0.7255587,3.8749156e-05,M,H
M22_Hindi_H_0013.npy,-3.2323253,-0.5279173,1.6804057,-0.43697405,0.005940916,0.08878977,0.8080262,0.09724318,M,H
M22_Hindi_H_0017.npy,-1.9089663,-0.6516125,1.1682429,-0.52631736,0.033113334,0.116429955,0.71848536,0.13197137,M,H
M22_Hindi_H_0009.npy,-3.827304,0.98860615,3.8843844,-3.760439,0.00042375777,0.052316748,0.9468065,0.00045306107,M,H
M22_Hindi_H_0022.npy,-2.192915,-0.8686707,4.789575,-4.0909324,0.00092378113,0.0034728097,0.995465,0.00013844286,M,H
M22_Hindi_H_0057.npy,0.23337042,0.23696214,4.6433864,-7.166742,0.011865917,0.011908616,0.9762182,7.2522603e-06,M,H
M22_Hindi_H_0027.npy,-0.82472724,2.3955262,5.5894885,-8.714373,0.0015711006,0.039331652,0.9590967,5.885376e-07,M,H
M22_Hindi_H_0012.npy,-1.4112736,2.1934786,3.839306,-6.768406,0.0043772473,0.16096264,0.83463943,2.063613e-05,M,H
M22_Hindi_H_0033.npy,-1.2764286,0.65948117,5.1443534,-6.343589,0.0016066319,0.0111345155,0.98724884,1.0122248e-05,M,H
M22_Hindi_H_0018.npy,-2.05061,0.38439357,4.2307153,-4.654919,0.0018281991,0.02087047,0.9771662,0.00013520304,M,H
M22_Hindi_H_0054.npy,5.7950487,1.5254793,2.262139,-10.520383,0.9585819,0.013408458,0.028009549,7.8691414e-08,N,H
M22_Hindi_H_0015.npy,-1.3705285,-0.37143534,3.7218862,-3.6223755,0.006002274,0.01630109,0.9770651,0.0006314678,M,H
M22_Hindi_H_0030.npy,1.6740497,0.78213054,7.2289224,-10.489934,0.0038475762,0.0015770001,0.9945754,2.0064853e-08,M,H
